Key,en,es,ar,fr,hi
Add money details for,Add money details for,Agregar detalles de dinero para,إضافة تفاصيل المال ل,Ajouter de l'argent automatiquement,के लिए धन विवरण जोड़ें
Language Information,Language Information,Información de idioma,معلومات اللغة,Ajouter de l'argent manuellement,भाषा संबंधी जानकारी
Automatic Add Money,Automatic Add Money,Agregar dinero automáticamente,إضافة الأموال تلقائيًا,Ajouter de l'argent automatiquement,स्वचालित धन जोड़ें
Manual Add Money,Manual Add Money,Agregar dinero manualmente,دليل إضافة المال,Ajouter de l'argent manuellement Modifier,मैनुअल पैसे जोड़ें
Automatic Add Money Edit,Automatic Add Money Edit,Agregar dinero automáticamente Editar,تحرير إضافة الأموال تلقائيًا,Profil d'administrateur,स्वचालित धन जोड़ें संपादन
Manual Add Money Edit,Manual Add Money Edit,Agregar dinero manualmente Editar,تحرير إضافة الأموال يدويًا,Changement de mot de passe,मैन्युअल रूप से धन जोड़ें संपादित करें
Admin Profile,Admin Profile,Perfil de administrador,الملف الشخصي للمسؤول,Notification de configuration,व्यवस्थापक प्रोफ़ाइल
Password Change,Password Change,Cambio de contraseña,تغيير كلمة المرور,Envoyer une notification,पासवर्ड बदलें
Setup Notification,Setup Notification,Notificación de configuración,إشعار الإعداد,Informations sur le serveur,सेटअप अधिसूचना
Send Notification,Send Notification,Enviar notificación,إرسال الإخطار,Type de catégorie de configuration,अधिसूचना भेजें
Server Information,Server Information,Información del servidor,معلومات الخادم,Tous les billets,सर्वर जानकारी
Setup Category Type,Setup Category Type,Tipo de categoría de configuración,نوع فئة الإعداد,Billet en attente,सेटअप श्रेणी प्रकार
All Ticket,All Ticket,Todos los boletos,جميع التذاكر,FAQ de configuration,सभी टिकट
Pending Ticket,Pending Ticket,Boleto pendiente,تذكرة معلقة,Billet actif,लंबित टिकट
Setup FAQ,Setup FAQ,Preguntas frecuentes sobre la configuración,الأسئلة الشائعة حول الإعداد,Billet résolu,सेटअप अक्सर पूछे जाने वाले प्रश्न
Active Ticket,Active Ticket,Boleto Activo,تذكرة نشطة,Chat d'assistance,सक्रिय टिकट
Solved Ticket,Solved Ticket,Boleto resuelto,تذكرة محلولة,Journaux de courrier électronique des utilisateurs,हल टिकट
Support Chat,Support Chat,Chat de soporte,دعم الدردشة,Lien utile Modifier,समर्थन चैट
User Email Logs,User Email Logs,Registros de correo electrónico del usuario,سجلات البريد الإلكتروني للمستخدم,Paiement Stripe,उपयोगकर्ता ईमेल लॉग
Useful Link Edit,Useful Link Edit,Enlace útil Editar,تعديل الرابط المفيد,Paiement manuel,उपयोगी लिंक संपादित करें
Stripe Payment,Stripe Payment,Pago de franjas,الدفع الشريطي,Demander de l'argent,धारी भुगतान
Manual Payment,Manual Payment,Pago Manual,الدفع اليدوي,Retirer le journal,मैन्युअल भुगतान
Request Moneny,Request Moneny,Solicitar dinero,طلب المال,Échange d'argent,पैसे का अनुरोध करें
Withdraw Log,Withdraw Log,Retirar registro,سجل السحب,Billets d'assistance,लॉग वापस लें
Money Exchange,Money Exchange,Cambio de dinero,صرف العملات,Ajouter un nouveau billet,मुद्रा विनिमय
Support Tickets,Support Tickets,Boletos de soporte,تذاكر الدعم,Conversation,समर्थन टिकट
Add New Ticket,Add New Ticket,Agregar nuevo boleto,إضافة تذكرة جديدة,Connexion utilisateur,नया टिकट जोड़ें
Conversation,Conversation,Conversación,محادثة,Portefeuille AdFund,बातचीत
User Login,User Login,Inicio de sesión de usuario,تسجيل دخول المستخدم,Total des frais et charges,उपयोगकर्ता लॉगिन
adfund Wallet,AdFund Wallet,Monedero AdFund,محفظة AdFund,Montant total à payer,ऐडफंड वॉलेट
totalfee,Total Fees & Charges,Tarifas y cargos totales,إجمالي الرسوم والمصاريف,Vous n'avez pas de compte ?,कुल शुल्क एवं शुल्क
total Payable,Total Payable Amount,Monto total a pagar,إجمالي المبلغ المستحق,"Entrez le code de vérification que nous vous envoyons dans votre e-mail, pour réinitialiser votre mot de passe.",कुल देय राशि
don THave Account,Don't Have An Account?,¿No tienes una cuenta?,ليس لديك حساب؟,Catégories,कोई खाता नहीं है?
otp Verification Sub Title,"Enter the verification code which one we send you in your email, to reset your password.","Ingresa el código de verificación que te enviamos a tu correo electrónico, para restablecer tu contraseña.",أدخل رمز التحقق الذي أرسلناه إليك في بريدك الإلكتروني لإعادة تعيين كلمة المرور الخاصة بك.,FAQ,अपना पासवर्ड रीसेट करने के लिए वह सत्यापन कोड दर्ज करें जो हम आपको आपके ईमेल पर भेजते हैं।
Categories,Categories,Categorías,فئات,Votre email,श्रेणियाँ
FAQ,FAQ,Preguntas frecuentes,التعليمات,Votre email ajouté à notre newsletter,अक्सर पूछे जाने वाले प्रश्न
Your email,Your email,Tu correo electrónico,البريد الإلكتروني الخاص بك,Votre message soumis,आपका ईमेल
Your email added to our newsletter,Your email added to our newsletter,Su correo electrónico agregado a nuestro boletín,تمت إضافة بريدك الإلكتروني إلى نشرتنا الإخبارية,Cookie autorisé avec succès,आपका ईमेल हमारे न्यूज़लेटर में जोड़ा गया
Your message submitted,Your message submitted,Su mensaje enviado,تم إرسال رسالتك,Refus des cookies avec succès,आपका संदेश सबमिट हो गया
Cookie allow successfully,Cookie allow successfully,Cookie permitida exitosamente,تم السماح بملف تعريف الارتباط بنجاح,Oups ! Langue introuvable,कुकी सफलतापूर्वक अनुमति देती है
Cookie decline successfully,Cookie decline successfully,Rechazo de cookies exitoso,تم رفض ملف تعريف الارتباط بنجاح,Échec de la transaction. L'enregistrement n'a pas été enregistré correctement. Veuillez réessayer,कुकी सफलतापूर्वक अस्वीकार हो गई
Oops! Language not found,Oops! Language not found,¡Ups! Idioma no encontrado,أُووبس! لم يتم العثور على اللغة,Argent ajouté avec succès,उफ़! भाषा नहीं मिली
Transaction Failed. Record didn't saved properly. Please try again,Transaction Failed. Record didn't saved properly. Please try again,La transacción falló. El registro no se guardó correctamente. Por favor inténtalo de nuevo,فشلت الصفقة. لم يتم حفظ السجل بشكل صحيح. يرجى المحاولة مرة أخرى,Don réussi,लेन - देन विफल। रिकॉर्ड ठीक से सहेजा नहीं गया. कृपया पुन: प्रयास करें
Successfully added money,Successfully added money,Dinero agregado exitosamente,تمت إضافة الأموال بنجاح,"Paiement réussi, veuillez revenir sur votre application",सफलतापूर्वक पैसा जोड़ा गया
Successfully Donation,Successfully donation,Donación exitosa,تم التبرع بنجاح,"Échec du paiement, veuillez contacter le propriétaire",सफलतापूर्वक दान
"Payment Successful, Please Go Back Your App","Payment Successful, Please Go Back Your App","Pago exitoso, regrese a su aplicación",تم الدفع بنجاح، يرجى الرجوع إلى تطبيقك,Nous n'avons pas besoin de plus de dons pour cette campagne,"भुगतान सफल, कृपया अपना ऐप वापस लें"
"Payment Failed,Please Contact With Owner","Payment Failed,Please Contact With Owner","Pago fallido, comuníquese con el propietario",فشل الدفع الرجاء التواصل مع المالك,Un utilisateur non authentifié ne peut pas faire de don avec,"भुगतान विफल, कृपया स्वामी से संपर्क करें"
We do not need more donation for this campaign,We do not need more donation for this campaign,No necesitamos más donación para esta campaña.,لا نحتاج للمزيد من التبرعات لهذه الحملة,Solde de votre portefeuille insuffisant,हमें इस अभियान के लिए अधिक दान की आवश्यकता नहीं है.'
Unauthenticated User Can Not Donation With,Unauthenticated User Can Not Donation With,El usuario no autenticado no puede realizar donaciones,لا يمكن للمستخدم غير المصادق التبرع به,Don annulé,अप्रामाणिक उपयोगकर्ता दान नहीं कर सकता
Insufficient your wallet balance,Insufficient your wallet balance,Saldo insuficiente de tu billetera,عدم كفاية رصيد محفظتك,La transaction a échoué,आपके बटुए का शेष अपर्याप्त है
Donation cancelled,Donation cancelled,Donación cancelada,تم إلغاء التبرع,Nous avons juste besoin,दान रद्द कर दिया गया
Transaction failed,Transaction failed,La transacción falló,فشلت المعاملة,Le hachage de la transaction est requis pour la vérification,लेन - देन विफल
We need just,We need just,solo necesitamos,نحتاج فقط,Le hachage de la transaction n'est pas valide ! Veuillez saisir un hachage valide,हमें बस चाहिए
Transaction hash is required for verify,Transaction hash is required for verify,Se requiere hash de transacción para verificar,تجزئة المعاملة مطلوبة للتحقق,Quantité ajoutée insuffisante. Veuillez contacter l'administrateur système,सत्यापन के लिए लेनदेन हैश आवश्यक है
Transaction hash is not valid! Please input a valid hash,Transaction hash is not valid! Please input a valid hash,¡El hash de transacción no es válido! Por favor ingresa un hash válido,تجزئة المعاملة غير صالحة! الرجاء إدخال تجزئة صالحة,Quelque chose s'est mal passé ! Veuillez réessayer,लेनदेन हैश मान्य नहीं है! कृपया एक वैध हैश इनपुट करें
Insufficient amount added. Please contact with system administrator,Insufficient amount added. Please contact with system administrator,Cantidad insuficiente agregada. Por favor contacte con el administrador del sistema,تمت إضافة كمية غير كافية. يرجى الاتصال بمسؤول النظام,Votre compte email est activé ! Vous pouvez vous connecter maintenant et mettre à jour vos informations nécessaires pour télécharger le produit,अपर्याप्त राशि जोड़ी गई. कृपया सिस्टम प्रशासक से संपर्क करें
Something went wrong! Please try again,Something went wrong! Please try again,¡Algo salió mal! Por favor inténtalo de nuevo,حدث خطأ ما! يرجى المحاولة مرة أخرى,"Votre compte n'est pas activé, vérifiez la boîte de réception/spam",कुछ गलत हो गया! कृपया पुन: प्रयास करें
Your email account is activated! You can login now and update your necessary information to upload product,Your email account is activated! You can login now and update your necessary information to upload product,¡Tu cuenta de correo electrónico está activada! Puede iniciar sesión ahora y actualizar la información necesaria para cargar el producto.,تم تفعيل حساب البريد الإلكتروني الخاص بك! يمكنك تسجيل الدخول الآن وتحديث معلوماتك الضرورية لتحميل المنتج,L'adresse e-mail et le mot de passe sont erronés,आपका ईमेल खाता सक्रिय है! अब आप लॉगिन कर सकते हैं और उत्पाद अपलोड करने के लिए अपनी आवश्यक जानकारी अपडेट कर सकते हैं
Your account is not activated check mail inbox/spam,Your account is not activated check mail inbox/spam,Tu cuenta no está activada revisa tu bandeja de entrada/spam,لم يتم تنشيط حسابك، تحقق من البريد الوارد/البريد العشوائي,Inscription réussie,"आपका खाता सक्रिय नहीं है, मेल इनबॉक्स/स्पैम जांचें"
Email-Address And Password Are Wrong,Email-Address And Password Are Wrong,La dirección de correo electrónico y la contraseña son incorrectas,عنوان البريد الإلكتروني وكلمة المرور خاطئان,Impossible d'enregistrer cette action,ईमेल-पता और पासवर्ड ग़लत हैं
Registration successful,Registration successful,Registro exitoso,تم التسجيل بنجاح,Votre compte email est déjà activé ! Veuillez vous connecter,सफल पंजीकरण
Unable to save this action,Unable to save this action,No se puede guardar esta acción,غير قادر على حفظ هذا الإجراء,Veuillez vérifier la boîte de réception des e-mails/spam,इस क्रिया को सहेजने में असमर्थ
Your email account is already activated! Please login,Your email account is already activated! Please login,¡Tu cuenta de correo electrónico ya está activada! Por favor inicia sesión,لقد تم تفعيل حساب بريدك الإلكتروني بالفعل! الرجاء تسجيل الدخول,Code introuvable,आपका ईमेल खाता पहले से ही सक्रिय है! कृपया लॉगिन करें
Please check email inbox/spam,Please check email inbox/spam,Por favor revisa la bandeja de entrada/spam del correo electrónico.,يرجى التحقق من صندوق البريد الإلكتروني/البريد العشوائي,"Mot de passe modifié avec succès, connexion s'il vous plaît",कृपया ईमेल इनबॉक्स/स्पैम जांचें
Code not found,Code not found,Código no encontrado,لم يتم العثور على الرمز,"Quoi que vous cherchiez, cherchez ailleurs",कोड नहीं मिला
Password Changed successfully login please,Password Changed successfully login please,Contraseña cambiada exitosamente inicie sesión por favor,تم تغيير كلمة المرور بنجاح قم بتسجيل الدخول من فضلك,Oups ! Échec du téléchargement de la pièce jointe. Veuillez réessayer,"पासवर्ड सफलतापूर्वक बदल गया, कृपया लॉगिन करें"
"Whatever you were looking for, look somewhere else","Whatever you were looking for, look somewhere else","Lo que sea que estuvieras buscando, busca en otro lado",كل ما كنت تبحث عنه، ابحث في مكان آخر,Ticket d'assistance créé avec succès,"आप जो भी खोज रहे थे, उसे कहीं और देखें"
Opps! Failed to upload attachment. Please try again,Opps! Failed to upload attachment. Please try again,¡Ups! No se pudo cargar el archivo adjunto. Por favor inténtalo de nuevo,انتبه! فشل تحميل المرفق. يرجى المحاولة مرة أخرى,Ce ticket d'assistance est fermé,उफ़! अनुलग्नक अपलोड करने में विफल. कृपया पुन: प्रयास करें
Support ticket created successfully,Support ticket created successfully,Ticket de soporte creado exitosamente,تم إنشاء تذكرة الدعم بنجاح,L'envoi du SMS a échoué ! Veuillez réessayer,समर्थन टिकट सफलतापूर्वक बनाया गया
This support ticket is closed,This support ticket is closed,Este ticket de soporte está cerrado.,تم إغلاق تذكرة الدعم هذه,Le nouveau mot de passe et la confirmation du mot de passe ne sont pas les mêmes,यह समर्थन टिकट बंद है
SMS Sending failed! Please try again,SMS Sending failed! Please try again,¡Error al enviar SMS! Por favor inténtalo de nuevo,فشل إرسال الرسائل القصيرة! يرجى المحاولة مرة أخرى,Mot de passe non mis à jour,एसएमएस भेजना विफल! कृपया पुन: प्रयास करें
New password & confirm password is not same,New password & confirm password is not same,La nueva contraseña y la confirmación de contraseña no son las mismas,كلمة المرور الجديدة وتأكيد كلمة المرور ليسا نفس الشيء,Profil mis à jour avec succès,नया पासवर्ड और कन्फर्म पासवर्ड समान नहीं है
Password not updated,Password not updated,Contraseña no actualizada,لم يتم تحديث كلمة المرور,Le mot de passe actuel ne correspond pas,पासवर्ड अपडेट नहीं हुआ
Profile successfully updated,Profile successfully updated,Perfil actualizado exitosamente,تم تحديث الملف الشخصي بنجاح,Mot de passe mis à jour avec succès,प्रोफ़ाइल सफलतापूर्वक अपडेट की गई
Current password didn't match,Current password didn't match,La contraseña actual no coincide,كلمة المرور الحالية غير متطابقة,Déconnexion réussie,वर्तमान पासवर्ड मेल नहीं खाता
Password successfully updated,Password successfully updated,Contraseña actualizada exitosamente,تم تحديث كلمة المرور بنجاح,Session expirée. Veuillez réessayer,पासवर्ड सफलतापूर्वक अपडेट किया गया
Logout Successfully,Logout Successfully,Cerrar sesión exitosamente,تم تسجيل الخروج بنجاح,Compte vérifié avec succès,सफलतापूर्वक लॉगआउट करें
Session expired. Please try again,Session expired. Please try again,La sesión expiró. Por favor inténtalo de nuevo,انتهت صلاحية الجلسة. يرجى المحاولة مرة أخرى,Réussite du renvoi du courrier OTP,सत्र समाप्त हुआ। कृपया पुन: प्रयास करें
Account successfully verified,Account successfully verified,Cuenta verificada exitosamente,تم التحقق من الحساب بنجاح,Vous êtes déjà un utilisateur vérifié KYC,खाता सफलतापूर्वक सत्यापित
Mail OTP Resend Success,Mail OTP Resend Success,Reenvío exitoso de OTP de correo,نجاح إعادة إرسال البريد OTP,Informations KYC soumises avec succès,मेल ओटीपी पुनः भेजने में सफलता
You are already KYC Verified User,You are already KYC Verified User,Ya eres usuario verificado de KYC,أنت بالفعل مستخدم تم التحقق منه KYC,Ajouter de l'argent annulé,आप पहले से ही केवाईसी सत्यापित उपयोगकर्ता हैं
KYC information successfully submitted,KYC information successfully submitted,La información KYC se envió correctamente,تم إرسال معلومات KYC بنجاح,Quelque chose ne va pas,केवाईसी जानकारी सफलतापूर्वक सबमिट की गई
Add money cancelled,Add money cancelled,Añadir dinero cancelado,تم إلغاء إضافة الأموال,L'argent ajouté a échoué,पैसा जोड़ना रद्द
Something Is Wrong,Something Is Wrong,Algo anda mal,هناك خطأ ما,Argent ajouté annulé,कुछ गड़बड़ है
Added Money Failed,Added Money Failed,Error al agregar dinero,فشلت إضافة الأموال,Paiement annulé,पैसा जोड़ा नहीं जा सका
Added Money Canceled,Added Money Canceled,Dinero agregado cancelado,تم إلغاء الأموال المضافة,Réussite de la confirmation de paiement,जोड़ा गया पैसा रद्द किया गया
Payment Canceled,Payment Canceled,Pago cancelado,تم إلغاء الدفع,Demande de transaction envoyée avec succès,भुगतान रद्द कर दिया गया
Payment Confirmation Success,Payment Confirmation Success,Éxito de la confirmación del pago,نجاح تأكيد الدفع,L'utilisateur n'existe pas,भुगतान पुष्टिकरण सफलता
Transaction request sended successfully,Transaction request sended successfully,Solicitud de transacción enviada exitosamente,تم إرسال طلب المعاملة بنجاح,Jeton de réinitialisation du mot de passe expiré,लेन-देन अनुरोध सफलतापूर्वक भेजा गया
User doesn't exists,User doesn't exists,El usuario no existe,المستخدم غير موجود,Code de vérification renvoyé avec succès,उपयोगकर्ता मौजूद नहीं है
Password Reset Token Expired,Password Reset Token Expired,El token de restablecimiento de contraseña expiró,انتهت صلاحية رمز إعادة تعيين كلمة المرور,Demande invalide. Veuillez réessayer,पासवर्ड रीसेट टोकन समाप्त हो गया
Verification code resend success,Verification code resend success,Reenvío exitoso del código de verificación,تمت إعادة إرسال رمز التحقق بنجاح,Réinitialisation réussie du mot de passe. Veuillez vous connecter avec un nouveau mot de passe,सत्यापन कोड पुनः भेजने में सफलता
Invalid Request. Please try again,Invalid Request. Please try again,Solicitud no válida. Por favor inténtalo de nuevo,طلب غير صالح. يرجى المحاولة مرة أخرى,Ou entrez un autre montant (facultatif),अमान्य अनुरोध। कृपया पुन: प्रयास करें
Password reset success. Please login with new password,Password reset success. Please login with new password,Restablecimiento de contraseña exitoso. Por favor inicie sesión con nueva contraseña,نجاح إعادة تعيين كلمة المرور. الرجاء تسجيل الدخول بكلمة المرور الجديدة,Don inséré avec succès,पासवर्ड रीसेट सफल. कृपया नए पासवर्ड से लॉगिन करें
Or enter other amount(optional),Or enter other amount(optional),O ingrese otra cantidad (opcional),أو أدخل مبلغًا آخر (اختياري),Veuillez respecter la limite de transaction,या अन्य राशि दर्ज करें (वैकल्पिक)
Donation Inserted Successfully,Donation Inserted Successfully,Donación insertada exitosamente,تم إدخال التبرع بنجاح,Les informations sur la passerelle ne sont pas disponibles. Veuillez fournir l'alias de la devise de la passerelle de paiement,दान सफलतापूर्वक डाला गया
Please follow the transaction limit,Please follow the transaction limit,Siga el límite de transacciones,يرجى اتباع حد المعاملة,Demande invalide,कृपया लेनदेन सीमा का पालन करें
Gateway Information is not available. Please provide payment gateway currency alias,Gateway Information is not available. Please provide payment gateway currency alias,La información de la puerta de enlace no está disponible. Proporcione el alias de moneda de la pasarela de pago,معلومات البوابة غير متوفرة. يرجى تقديم الاسم المستعار لعملة بوابة الدفع,Utilisateur non autorisé,गेटवे सूचना उपलब्ध नहीं है. कृपया भुगतान गेटवे मुद्रा उपनाम प्रदान करें
Invalid Request,Invalid Request,Solicitud no válida,طلب غير صالح,Campagne introuvable,अमान्य अनुरोध
Unauthorized user,Unauthorized user,Usuario no autorizado,مستخدم غير مصرح به,Récupération des données de la passerelle de don,अनधिकृत उपयोगकर्ता
Campaign not found,Campaign not found,Campaña no encontrada,لم يتم العثور على الحملة,Récupération réussie des données de l'historique des dons,अभियान नहीं मिला
Donation gateway data fetch,Donation gateway data fetch,Obtención de datos del portal de donaciones,جلب بيانات بوابة التبرع,Don annulé avec succès,दान गेटवे डेटा प्राप्त करें
Donations History Data Fetch Successful,Donations History Data Fetch Successful,Datos del historial de donaciones obtenidos correctamente,تم جلب بيانات سجل التبرعات بنجاح,"Don réussi, veuillez revenir sur votre application",दान इतिहास डेटा फ़ेच सफल
Donation Canceled Successfully,Donation Canceled Successfully,Donación cancelada exitosamente,تم إلغاء التبرع بنجاح,Échec du paiement,दान सफलतापूर्वक रद्द किया गया
"Donation Successful, Please Go Back Your App","Donation Successful, Please Go Back Your App","Donación exitosa, regrese a su aplicación",تم التبرع بنجاح، يرجى الرجوع إلى تطبيقك,L'utilisateur demandé n'enregistre pas correctement. Veuillez réessayer,"दान सफल, कृपया अपना ऐप वापस लें"
Payment Failed,Payment Failed,Pago fallido,فشل الدفع,Ajouter de l'argent annulé avec succès,भुगतान विफल रही
Request user doesn't save properly. Please try again,Request user doesn't save properly. Please try again,El usuario de la solicitud no se guarda correctamente. Por favor inténtalo de nuevo,طلب المستخدم لا يحفظ بشكل صحيح. يرجى المحاولة مرة أخرى,Ajouter de l'argent avec succès,अनुरोध उपयोगकर्ता ठीक से सहेजता नहीं है। कृपया पुन: प्रयास करें
Add Money Canceled Successfully,Add Money Canceled Successfully,Agregar dinero cancelado exitosamente,تم إلغاء إضافة الأموال بنجاح,Paiement annulé,पैसा जोड़ें सफलतापूर्वक रद्द किया गया
Successfully Add Money,Successfully Add Money,Agregue dinero exitosamente,تمت إضافة الأموال بنجاح,Paiement réussi,सफलतापूर्वक पैसा जोड़ें
Payment Cancelled,Payment Cancelled,Pago cancelado,تم إلغاء الدفع,Ajouter de l'argent inséré avec succès,भुगतान रद्द कर दिया गया
Payment successful,Payment successful,Pago exitoso,تم الدفع بنجاح,Récupération réussie des données linguistiques,भुगतान सफल
Add Money Inserted Successfully,Add Money Inserted Successfully,Agregue dinero insertado exitosamente,تم إضافة الأموال بنجاح,Données récupérées avec succès,सफलतापूर्वक डाला गया पैसा जोड़ें
Language Data Fetch Successfully,Language Data Fetch Successfully,Recuperación de datos de idioma exitosa,تم جلب بيانات اللغة بنجاح,Les données du tableau de bord ont été récupérées avec succès,भाषा डेटा सफलतापूर्वक प्राप्त हुआ
Data fetched successfully,Data fetched successfully,Datos obtenidos correctamente,تم جلب البيانات بنجاح,Les campagnes sont récupérées avec succès,डेटा सफलतापूर्वक लाया गया
Dashboard data successfully fetch,Dashboard data successfully fetch,Los datos del panel se recuperaron correctamente,تم جلب بيانات لوحة المعلومات بنجاح,Les détails de la campagne ont été récupérés avec succès,डैशबोर्ड डेटा सफलतापूर्वक लाया गया
Campaigns successfully fetch,Campaigns successfully fetch,Las campañas se recuperaron correctamente,تم جلب الحملات بنجاح,Les événements ont été récupérés avec succès,अभियान सफलतापूर्वक प्राप्त हुए
Campaign Details successfully fetch,Campaign Details successfully fetch,Los detalles de la campaña se obtuvieron correctamente,تم جلب تفاصيل الحملة بنجاح,Les détails de l'événement ont été récupérés avec succès,अभियान विवरण सफलतापूर्वक लाया गया
Events successfully fetch,Events successfully fetch,Los eventos se recuperaron correctamente,تم جلب الأحداث بنجاح,Mot de passe mis à jour avec succès,ईवेंट सफलतापूर्वक प्राप्त हुए
Event Details successfully fetch,Event Details successfully fetch,Detalles del evento recuperados exitosamente,تم جلب تفاصيل الحدث بنجاح,Les informations d'identification ne correspondent pas,इवेंट विवरण सफलतापूर्वक लाया गया
Password updated successfully,Password updated successfully,Contraseña actualizada exitosamente,تم تحديث كلمة المرور بنجاح,Le compte a été suspendu,पासवर्ड सफलतापूर्वक अद्यतन
The credentials does not match,The credentials does not match,Las credenciales no coinciden,بيانات الاعتماد غير متطابقة,Veuillez vérifier vos e-mails et vérifier votre compte,क्रेडेंशियल्स मेल नहीं खाते
Account Has been Suspended,Account Has been Suspended,La cuenta ha sido suspendida,لقد تم تعليق الحساب,Connexion réussie,खाता निलंबित कर दिया गया है
Please check email and verify your account,Please check email and verify your account,Por favor revise el correo electrónico y verifique su cuenta.,يرجى التحقق من البريد الإلكتروني والتحقق من حسابك,Code de vérification envoyé avec succès,कृपया ईमेल जांचें और अपना खाता सत्यापित करें
Login Successful,Login Successful,Iniciar sesión exitosamente,تم تسجيل الدخول بنجاح,Déconnexion réussie,लॉग इन सफल
Verification code send success,Verification code send success,El código de verificación se envió correctamente,تم إرسال رمز التحقق بنجاح,Code OTP de vérification envoyé à votre adresse e-mail,सत्यापन कोड सफलतापूर्वक भेजा गया
Logout Successful,Logout Successful,Cerrar sesión exitosamente,تم تسجيل الخروج بنجاح,Vérification OTP invalide,लॉगआउट सफल
Verification otp code sended to your email address,Verification otp code sended to your email address,Código otp de verificación enviado a su dirección de correo electrónico,تم إرسال رمز التحقق لمرة واحدة إلى عنوان بريدك الإلكتروني,Vérification OTP réussie,सत्यापन ओटीपी कोड आपके ईमेल पते पर भेजा गया
Verification OTP invalid,Verification OTP invalid,Verificación OTP no válida,التحقق من كلمة المرور لمرة واحدة (OTP) غير صالح,"Oups, le mot de passe ne correspond pas",सत्यापन ओटीपी अमान्य
OTP verification successful,OTP verification successful,Verificación OTP exitosa,تم التحقق من OTP بنجاح,La demande d'ajout d'argent a été approuvée avec succès,ओटीपी सत्यापन सफल
Oops password does not match,Oops password does not match,"Vaya, la contraseña no coincide",عفوًا، كلمة المرور غير متطابقة,Demande d'ajout d'argent rejetée avec succès,उफ़ पासवर्ड मेल नहीं खाता
Add Money request approved successfully,Add Money request approved successfully,Solicitud de Agregar dinero aprobada exitosamente,تمت الموافقة على طلب إضافة الأموال بنجاح,Oups ! Échec de l'envoi du courrier. Veuillez revérifier vos identifiants de messagerie ou reconfigurer la messagerie,धन जोड़ने का अनुरोध सफलतापूर्वक स्वीकृत हो गया
Add Money request rejected successfully,Add Money request rejected successfully,Solicitud de Agregar dinero rechazada exitosamente,تم رفض طلب إضافة الأموال بنجاح,E-mail envoyé avec succès !,धन जोड़ने का अनुरोध सफलतापूर्वक अस्वीकार कर दिया गया
Opps! Faild to send mail. Please recheck your mail credentials or reconfigure mail,Opps! Faild to send mail. Please recheck your mail credentials or reconfigure mail,¡Ups! No se pudo enviar el correo. Vuelva a verificar sus credenciales de correo o reconfigure el correo.,انتبه! فشل في إرسال البريد. يرجى إعادة التحقق من بيانات اعتماد البريد الخاص بك أو إعادة تكوين البريد,Oups ! Échec du téléchargement de l'image,उफ़! मेल भेजने में विफल. कृपया अपने मेल क्रेडेंशियल दोबारा जांचें या मेल पुन: कॉन्फ़िगर करें
Email send successfully!,Email send successfully!,¡Envío de correo electrónico exitoso!,إرسال البريد الإلكتروني بنجاح!,Nouvel administrateur créé avec succès !,ईमेल सफलतापूर्वक भेजा गया!
Opps! Faild to upload image,Opps! Faild to upload image,¡Ups! No se pudo cargar la imagen,انتبه! فشل تحميل الصورة,Oups ! Administrateur cible introuvable !,उफ़! छवि अपलोड करने में विफल
New admin created successfully!,New admin created successfully!,¡Nuevo administrador creado exitosamente!,تم إنشاء المشرف الجديد بنجاح!,Échec de l'attribution du rôle,नया व्यवस्थापक सफलतापूर्वक बनाया गया!
Opps! Target admin not found!,Opps! Target admin not found!,¡Ups! ¡Administrador objetivo no encontrado!,انتبه! لم يتم العثور على المشرف المستهدف!,Les informations d'administration ont été mises à jour avec succès !,उफ़! लक्ष्य व्यवस्थापक नहीं मिला!
Failed to assign role,Failed to assign role,No se pudo asignar el rol,فشل في تعيين الدور,Le statut d'administrateur a été mis à jour avec succès !,भूमिका निर्दिष्ट करने में विफल
Admin information updated successfully!,Admin information updated successfully!,¡La información del administrador se actualizó exitosamente!,تم تحديث معلومات المشرف بنجاح!,Rôle d'administrateur créé avec succès !,व्यवस्थापक जानकारी सफलतापूर्वक अपडेट की गई!
Admin status updated successfully!,Admin status updated successfully!,¡El estado del administrador se actualizó exitosamente!,تم تحديث حالة المشرف بنجاح!,Oups ! Cible introuvable !,व्यवस्थापक स्थिति सफलतापूर्वक अपडेट की गई!
Admin role created successfully!,Admin role created successfully!,¡El rol de administrador se creó exitosamente!,تم إنشاء دور المشرف بنجاح!,Rôle d'administrateur mis à jour avec succès !,व्यवस्थापक भूमिका सफलतापूर्वक बनाई गई!
Opps! Target not found!,Opps! Target not found!,¡Ups! ¡Objetivo no encontrado!,انتبه! لم يتم العثور على الهدف!,Le rôle de super-administrateur ne peut pas être supprimé,उफ़! लक्ष्य नहीं मिला!
Admin role updated successfully!,Admin role updated successfully!,¡El rol de administrador se actualizó exitosamente!,تم تحديث دور المشرف بنجاح!,Écran embarqué introuvable !,व्यवस्थापक भूमिका सफलतापूर्वक अपडेट की गई!
Super admin role can't deletable,Super admin role can't deletable,La función de superadministrador no se puede eliminar,لا يمكن حذف دور المشرف المتميز,L'état de l'écran intégré a été mis à jour avec succès !,सुपर एडमिन भूमिका को हटाया नहीं जा सकता
Onboard screen not found!,Onboard screen not found!,¡No se encontró la pantalla integrada!,لم يتم العثور على الشاشة على متن الطائرة!,Écran supprimé avec succès !,ऑनबोर्ड स्क्रीन नहीं मिली!
